feature_name,importance_gain,importance_split
B_40_sum,142.6045148193836,44.4
diff_D_115_last,142.5702829360962,34.6
diff_S_24_mean,142.2506683134183,52.0
ym_rank_D_122_mean,142.2205164580606,52.4
diff_S_11_std,142.19766432717444,50.6
D_44_max,142.1050437539816,6.8
last3_diff_D_59_std,142.0909083545208,48.4
ym_rank_B_17_last,142.02256975471974,30.8
ym_rank_D_46_last,142.01139906719328,50.4
P_3_sum,141.887548481673,34.6
diff_D_48_min,141.56501648575068,51.6
last3_D_61_std,141.46776694878935,56.6
ym_rank_D_43_min,141.4588900256902,45.2
B_4_std,141.1266437549144,43.4
diff_D_44_sum,140.86789648979902,12.6
S_12_std,140.36147664114833,46.8
last6_B_3_std,140.20382618755102,25.4
D_77_last,139.64410854950546,48.6
diff_D_45_std,139.55428539514543,47.0
ym_rank_B_33_mean,138.89430124163627,20.8
diff_B_18_mean,138.78182733356954,25.2
P_3_min,138.3934870839119,34.8
ym_rank_D_71_last,138.0758036211133,18.8
S_24_std,137.8534205001779,50.0
last6_D_62_mean,137.69303189069032,44.0
ym_rank_B_40_std,137.56548169851303,44.8
last6_D_39_sum,137.45863156709237,41.4
last3_diff_D_52_min,137.39757606387138,35.8
D_55_std,137.17179250121117,47.6
D_46_max,137.12280248124154,51.4
last6_S_25_sum,136.7311106815934,28.0
last3_D_77_max,136.46329436376692,48.8
diff_D_59_std,136.395110292919,50.0
ym_rank_R_10_mean,136.37357308864594,14.0
last6_B_7_mean,136.12358981072902,33.0
last3_P_3_max,136.02305601388215,45.6
last3_diff_P_3_std,135.56845624744892,54.4
rank_D_55_last,135.55124903768302,44.2
last6_P_3_mean,135.53393339812754,34.4
ym_rank_D_59_mean,135.16925202005078,55.8
ym_rank_S_3_last,134.54890388548375,33.6
last6_D_61_min,134.2512128531933,41.0
D_124_std,134.21672243177892,44.8
ym_rank_B_3_min,134.12073749303818,20.8
S_3_max,133.71163502037524,26.6
ym_rank_R_3_std,133.6660542100668,46.6
last6_D_62_min,133.55307816043495,42.8
last6_D_46_max,133.4842719489243,51.0
diff_D_60_mean,133.30377112673597,44.2
last3_D_62_max,133.05375929251312,41.6
S_11_sum,133.03304355740548,34.0
diff_B_3_std,132.99666715711356,32.2
last3_D_62_mean,132.48851751238107,39.4
rank_P_2_last,132.44648305773734,46.0
ym_rank_R_2_last,132.1109729617834,21.6
B_4_last,131.83835381269455,25.6
last3_D_59_std,131.67382374703885,45.0
